Delivery Date,Depot Name,Route Name,Weight,Sales_Amount
1-Jan-19,Depot 1,Route 1,2639.94,248751
1-Jan-19,Depot 1,Route 2,3389.89,259271
1-Jan-19,Depot 1,Route 3,2160.94,198180
1-Jan-19,Depot 1,Route 4,3097.03,283703
1-Jan-19,Depot 1,Route 5,2438.94,220983
1-Jan-19,Depot 1,Route 6,1642.03,95673
1-Jan-19,Depot 1,Route 7,1856.66,184302
1-Jan-19,Depot 1,Route 8,1623.6,172505
2-Jan-19,Depot 1,Route 3,2088.09,225782
2-Jan-19,Depot 1,Route 4,2918.34,301931
2-Jan-19,Depot 1,Route 5,2155.03,182846
2-Jan-19,Depot 1,Route 6,1636.13,79880
2-Jan-19,Depot 1,Route 7,1640.34,145126
2-Jan-19,Depot 1,Route 8,2962.56,305929
2-Jan-19,Depot 1,Route 1,4152.37,364460
2-Jan-19,Depot 1,Route 2,1660.63,124642
3-Jan-19,Depot 1,Route 2,1631.29,125081
3-Jan-19,Depot 1,Route 3,2063.76,174710
3-Jan-19,Depot 1,Route 4,2604.73,259589
3-Jan-19,Depot 1,Route 5,2390.15,225868
3-Jan-19,Depot 1,Route 6,1873.49,115840
3-Jan-19,Depot 1,Route 7,966.06,92885
3-Jan-19,Depot 1,Route 8,2726.14,282145
3-Jan-19,Depot 1,Route 1,3142.67,290664
4-Jan-19,Depot 1,Route 1,2887.2,264254
4-Jan-19,Depot 1,Route 8,2339.5,226180
4-Jan-19,Depot 1,Route 7,1230.86,94901
4-Jan-19,Depot 1,Route 6,2224.79,143006
4-Jan-19,Depot 1,Route 5,2177.75,204839
4-Jan-19,Depot 1,Route 4,2864.53,266472
4-Jan-19,Depot 1,Route 3,2013.17,186899
4-Jan-19,Depot 1,Route 2,3220.25,274287
5-Jan-19,Depot 1,Route 1,3531.5,326064
5-Jan-19,Depot 1,Route 8,1846.03,180055
5-Jan-19,Depot 1,Route 7,1577.87,133277
5-Jan-19,Depot 1,Route 6,2410.41,161591
5-Jan-19,Depot 1,Route 5,3203.9,282043
5-Jan-19,Depot 1,Route 4,3433.89,327880
5-Jan-19,Depot 1,Route 3,3711.06,331058
5-Jan-19,Depot 1,Route 2,2139.06,167758
7-Jan-19,Depot 1,Route 2,2872.36,277726
7-Jan-19,Depot 1,Route 1,3925.29,364680
7-Jan-19,Depot 1,Route 8,2472.87,255490
7-Jan-19,Depot 1,Route 7,1294.07,104709
7-Jan-19,Depot 1,Route 6,1824.64,115403
7-Jan-19,Depot 1,Route 5,2819.81,255689
7-Jan-19,Depot 1,Route 4,3799.67,353893
7-Jan-19,Depot 1,Route 3,2433.61,234350
8-Jan-19,Depot 1,Route 1,2955.51,277357
8-Jan-19,Depot 1,Route 8,3081.7,305973
8-Jan-19,Depot 1,Route 7,1480.41,143728
8-Jan-19,Depot 1,Route 6,2365.44,131624
8-Jan-19,Depot 1,Route 5,2534.79,220748
8-Jan-19,Depot 1,Route 4,2320.13,225451
8-Jan-19,Depot 1,Route 3,1798.86,153105
8-Jan-19,Depot 1,Route 2,2661.73,204216
9-Jan-19,Depot 1,Route 3,1514.75,156360
9-Jan-19,Depot 1,Route 4,2325.18,233119
9-Jan-19,Depot 1,Route 5,2421.49,214998
9-Jan-19,Depot 1,Route 6,1480.49,96140
9-Jan-19,Depot 1,Route 7,1063.22,85977
9-Jan-19,Depot 1,Route 2,1772.25,148025
9-Jan-19,Depot 1,Route 8,1986.21,182704
9-Jan-19,Depot 1,Route 1,2729.94,243810
10-Jan-19,Depot 1,Route 2,3033.62,258517
10-Jan-19,Depot 1,Route 6,1902.07,114697
10-Jan-19,Depot 1,Route 7,1494.88,122530
10-Jan-19,Depot 1,Route 8,3961.6,368765
10-Jan-19,Depot 1,Route 1,3296.99,288924
10-Jan-19,Depot 1,Route 5,2697.18,249372
10-Jan-19,Depot 1,Route 4,2972.82,285870
10-Jan-19,Depot 1,Route 3,1939.04,162923
11-Jan-19,Depot 1,Route 1,2964.9,290123
11-Jan-19,Depot 1,Route 2,1632.82,131270
11-Jan-19,Depot 1,Route 3,1772.5,158830
11-Jan-19,Depot 1,Route 4,3596.42,330892
11-Jan-19,Depot 1,Route 5,3390.75,332225
11-Jan-19,Depot 1,Route 6,1683.88,102154
11-Jan-19,Depot 1,Route 7,1318.94,99276
11-Jan-19,Depot 1,Route 8,2140.15,258405
12-Jan-19,Depot 1,Route 1,3757.08,353244
12-Jan-19,Depot 1,Route 8,2763.35,309429
12-Jan-19,Depot 1,Route 7,1448.11,118445
12-Jan-19,Depot 1,Route 6,2630.08,145338
